Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
SKP,SM,215,1.9,356.9,0.11,0.23
LAL,BE,24.43,4.98,422,0.95,0.23
HDIL,BZ,4.23,4.96,200.5,5.3,0.22
STEL,BE,543.95,1.29,1003.88,0.04,0.22
AIROLAM,EQ,132,3.33,198.03,0.17,0.22
733GS2026,GS,104.2,0.39,47932,0.21,0.22
AMEYA,ST,102.85,2.75,77.14,0.22,0.21
SATIPOLY,SM,212.45,3.13,105.1,0.1,0.21
SGBOC28VII,GB,8198,0.01,1524.43,0,0.21
DHARIWAL,SM,144,0.7,128.9,0.14,0.2
SREEL,EQ,256,1.05,592.77,0.08,0.2
TIMESGTY,EQ,131,0.61,117.81,0.16,0.2
73GS2053,GS,106.19,0.17,207070.5,0.19,0.2
RADIOWALLA,SM,126,3.07,88.81,0.16,0.2
AVONMORE,BE,16.2,1.12,378.32,1.24,0.2
SETCO,EQ,10.88,0.93,145.54,1.67,0.19
AUROIMPEX,SM,79.85,1.27,97.42,0.24,0.18
ONDOOR,SM,387.9,1.92,219.11,0.05,0.18
NIRAJ,BE,62,0.98,248.96,0.29,0.17
SPECTRUM,SM,1600,0.03,2497.05,0.01,0.17
IITL,BE,319.35,2,720.06,0.05,0.17
OLIL,SM,92,0.05,33.15,0.19,0.17
ABINFRA,ST,98,2.19,487.5,0.18,0.17
SANGANI,ST,67,4.77,92.31,0.27,0.17
SILKFLEX,ST,80.85,2.86,93.84,0.22,0.17
BIKEWO,SM,33.35,0.91,43.5,0.5,0.16
732GS2030,GS,106.1,1.13,74270,0.16,0.16
JAKHARIA,ST,36.4,4.9,14.79,0.42,0.15
PHOGLOBAL,ST,33.1,4.91,64.04,0.46,0.15
VITAL,SM,73.95,0.2,177.12,0.2,0.15
SBIETFCON,EQ,120,0.7,25.24,0.12,0.14
EQUIPPP,BE,24,3,247.43,0.6,0.14
UNILEX,SM,73,0.69,99.4,0.19,0.14
890NHB34,N7,6397.99,1.3,61.87,0,0.14
HDFCNIFIT,EQ,43.45,0.39,149.24,0.31,0.14
THESL,SM,41.75,1.83,52.13,0.33,0.13
ITETFADD,EQ,42.83,0.05,42.7,0.31,0.13
HDFCBSE500,EQ,36.57,0.44,13.74,0.36,0.13
NIFTYQLITY,EQ,22.45,1.08,53.64,0.59,0.13
LICNETFGSC,EQ,26.54,0.45,2264.32,0.48,0.13
PASHUPATI,ST,532.1,1.26,813.26,0.02,0.13
HDFCVALUE,EQ,144,1.07,33.64,0.09,0.12
ENERGYDEV,EQ,20.73,0.93,98.47,0.57,0.12
BAWEJA,SM,76.5,3.24,140.97,0.15,0.11
MEDIORG,ST,58.7,3.53,68.68,0.2,0.11
SUPERSPIN,BE,10.42,0.29,57.31,1.07,0.11
SECURKLOUD,EQ,33.04,0.3,110.39,0.32,0.1
REXPIPES,SM,74,0.89,69.93,0.14,0.1
SADBHIN,EQ,6.25,4.87,220.14,1.69,0.1
LLOYDS,SM,94.5,3.62,223.52,0.11,0.1
JISLDVREQS,EQ,29.7,1.85,57.3,0.35,0.1
ANIKINDS,BE,79.43,0.2,220.45,0.13,0.1
HDFCGROWTH,EQ,122.9,0.76,12.83,0.08,0.1
RCDL,SM,27.5,0.92,65.77,0.36,0.1
888REC29,NF,1203,0.03,351.93,0.01,0.1
BANKA,EQ,120,0.29,130.16,0.08,0.1
SMARTLINK,BE,228,0.2,227.43,0.04,0.09
RUCHINFRA,BE,12.31,0.08,290.55,0.73,0.09
OMFURN,SM,62.1,4.81,73.12,0.14,0.09
JETFREIGHT,BE,14.13,0.5,65.57,0.63,0.09
SIMBHALS,BE,22.85,1.33,94.32,0.4,0.09
ORTINGLOBE,EQ,18.82,0.53,15.3,0.46,0.09
PRAMARA,SM,150.4,8.2,165.01,0.06,0.08
BANKETFADD,EQ,52.52,0.42,532.35,0.16,0.08
MOHITIND,EQ,27.04,0.63,38.28,0.31,0.08
KALYANIFRG,EQ,447.4,0.81,162.76,0.02,0.08
82HUDCO27,N2,1124.7,0.4,2832.25,0.01,0.08
TECH,EQ,44,0.27,51.19,0.19,0.08
MAGSON,SM,99.5,1.53,78.11,0.08,0.08
AXISBPSETF,EQ,12.13,0.25,1203.18,0.65,0.08
888ERFL28,N5,915.2,1.1,37.45,0.01,0.08
364D150525,TB,96.21,0.06,7743.38,0.08,0.08
875NHAI29,N6,1177.75,0.4,1401.3,0.01,0.08
865IRFC29,NA,1160,0.43,798.5,0.01,0.08
729IRFC26,NN,1017,0.26,193.96,0.01,0.07
SGBMAY25,GB,8100,0.37,1642.44,0,0.07
AKASH,EQ,34.99,6.13,59,0.2,0.06
RADAAN,BE,3.84,4.92,20.8,1.69,0.06
ABMINTLLTD,EQ,91.03,4.99,85.64,0.07,0.06
INFINIUM,ST,314.95,0.11,438.29,0.02,0.06
ARSHIYA,BE,3.23,1.25,85.1,1.98,0.06
726GS2033,GS,103.4,0.81,163372,0.06,0.06
717GS2030,GS,101.85,0.74,104905.5,0.06,0.06
AXISHCETF,EQ,146.5,1.74,20.58,0.04,0.06
UMESLTD,EQ,6.85,4.9,18.09,0.83,0.06
764NABAR31,N2,1138,0.07,0,0,0.06
79NHIT47,N3,403,0.25,604.5,0.01,0.05
KARMAENG,BE,71.95,4.08,83.25,0.07,0.05
364D230525,TB,95.8,0.31,3945.66,0.05,0.05
GVPTECH,EQ,11.27,0.71,183.55,0.41,0.05
TOTAL,EQ,82.35,0.67,132.81,0.06,0.05
956AEL29,N6,1020,0.87,51.37,0,0.04
AURUMPP1,X1,159.9,0.88,643.26,0.03,0.04
VIVIDHA,EQ,1,1.01,29.27,4.2,0.04
SILLYMONKS,EQ,21.7,0.37,22.16,0.18,0.04
842IIFL26,NL,954,0.43,140.48,0,0.04
MOLOWVOL,EQ,38.16,1.35,85.91,0.1,0.04
DIGJAMLMTD,BE,83,1.27,166,0.05,0.04
RKDL,BE,22.7,0.31,54.48,0.16,0.04
1003ISFL28,N4,988.99,1.79,79.5,0,0.04
IIFLZC28B,Y1,1000,2.04,37.52,0,0.03
990SCL26A,NL,920,11.65,6.83,0,0.03
706GS2028,GS,102,0.79,113220,0.03,0.03
SGBJUL25,GB,8070,0.19,1896.41,0,0.03
1025NFL25,N5,999,0.91,97.15,0,0.03
MADHAVBAUG,SM,143.75,3.42,151.13,0.02,0.03
MONOPHARMA,SM,34.15,1.34,60.34,0.08,0.03
SGBFEB28IX,GB,8200.1,1.47,332.89,0,0.03
699GS2051,GS,102,1.56,149455.5,0.03,0.03
SANWARIA,BZ,0.46,2.22,33.86,5.55,0.03
719HUDCO28,N7,1080.1,0.01,118.16,0,0.03
182D011124,TB,99.85,1.17,8487.25,0.02,0.02
739NHAI26,N8,1059.79,0.08,694.97,0,0.02
KRIDHANINF,EQ,4.12,1.23,39.05,0.55,0.02
DCMFINSERV,BE,6.85,3.32,12.87,0.33,0.02
GLOBALE,BE,32.95,1.51,34.99,0.07,0.02
IIFLZC28A,NU,1030.1,0.01,39,0,0.02
10NIDO26,N6,980,0.51,342.22,0,0.02
81ABFL33,N5,1003,0.2,1529.14,0,0.02
91D071124,TB,99.5,0.3,16915,0.02,0.02
